Id,SalePrice
1461,162991.45467985066
1462,163000.05989599443
1463,163076.47295641113
1464,163092.53641101936
1465,163039.57587611364
1466,163065.5132272765
1467,163030.11044620269
1468,163080.4450357975
1469,163050.06982785795
1470,162994.03857387113
1471,163026.53847464782
1472,162990.05257376138
1473,162989.72806565862
1474,163000.7851954307
1475,162996.79324431333
1476,163117.8056597185
1477,163093.3316185307
1478,163076.59307785548
1479,163084.59251754155
1480,163075.91655387476
1481,163118.42477697125
1482,163086.07140965408
1483,163074.33616435077
1484,163056.08654641386
1485,163075.99587348834
1486,163093.2729768245
1487,163090.46950918293
1488,163095.29873777134
1489,163070.15035349817
1490,163073.82112677343
1491,163088.4329659945
1492,162981.1487460977
1493,163001.26846800133
1494,163037.6188306869
1495,163090.3199573562
1496,163058.0481651054
1497,163051.4882963497
1498,163018.38853867422
1499,163025.91048391385
1500,163041.1402832984
1501,163042.46061717762
1502,163054.03721317253
1503,163041.62211605193
1504,163094.57794520972
1505,163083.70102519807
1506,163038.51890068268
1507,163072.34955207226
1508,163047.0234479476
1509,163021.84555225898
1510,163025.6916688248
1511,163007.0696077424
1512,163021.09240491694
1513,163005.95742308133
1514,162999.34930717817
1515,163022.56827126723
1516,163003.9717569005
1517,163008.75521144833
1518,163000.99899905195
1519,163058.493298514
1520,162990.98128357096
1521,162994.296224447
1522,163021.6294922073
1523,162973.28925538354
1524,162976.4476154257
1525,162977.234412386
1526,162984.5559084417
1527,162978.36483643102
1528,162984.74374452396
1529,162994.56044340975
1530,163015.70454324986
1531,162998.24444345973
1532,162977.8900602758
1533,162989.09757094263
1534,162978.00035014065
1535,162999.94510534947
1536,162971.12269553513
1537,162985.4082510787
1538,162995.3971617891
1539,163001.4688297356
1540,162995.52499858374
1541,162988.457940367
1542,162995.74709175498
1543,162999.64595426558
1544,162974.330753336
1545,162967.87393442495
1546,162984.99558745197
1547,162984.72405052293
1548,162976.71677321367
1549,162990.72459135618
1550,162985.1433081479
1551,162971.11301287494
1552,162985.6695865961
1553,162990.53838629686
1554,162984.2894092566
1555,163024.7893718537
1556,162985.44578623777
1557,162992.37641715893
1558,162987.51829516093
1559,162998.18040378083
1560,162994.81565150246
1561,162997.62872642447
